id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-01-05 11:21:09,"{""short_code"":""VJz1Hf"",""original_url"":""https://seeded.app/harbor/engine/1""}"
2,2,40,created,2025-03-13 08:22:49,"{""short_code"":""eeIE2J"",""original_url"":""https://acme.dev/ember/orbit/2""}"
3,3,365,created,2025-02-08 16:30:02,"{""short_code"":""XXJdfu"",""original_url"":""https://hackstack.io/brisk/pioneer/3""}"
4,4,350,created,2025-09-01 22:37:01,"{""short_code"":""WDYkVG"",""original_url"":""https://seeded.app/silver/island/4""}"
5,5,84,created,2025-01-17 06:32:05,"{""short_code"":""yX58Lk"",""original_url"":""https://opswise.net/gold/window/5""}"
6,6,307,created,2025-04-26 07:07:19,"{""short_code"":""yOLAOw"",""original_url"":""https://acme.dev/amber/beacon/6""}"
7,7,100,created,2025-03-14 01:54:02,"{""short_code"":""XzRPU8"",""original_url"":""https://seeded.app/keen/quartz/7""}"
8,8,347,created,2025-08-21 00:19:26,"{""short_code"":""grB3aT"",""original_url"":""https://example.com/amber/garden/8""}"
9,9,303,created,2025-06-20 10:30:28,"{""short_code"":""EaL0X4"",""original_url"":""https://example.com/ivory/island/9""}"
10,10,22,created,2025-07-10 19:31:34,"{""short_code"":""l2AEZ5"",""original_url"":""https://acme.dev/young/window/10""}"
11,11,175,created,2025-09-24 13:10:50,"{""short_code"":""haAhaF"",""original_url"":""https://opswise.net/harbor/valley/11""}"
12,12,334,created,2025-11-03 22:00:26,"{""short_code"":""6Cuqgq"",""original_url"":""https://seeded.app/opal/quartz/12""}"
13,13,197,created,2026-01-02 03:10:42,"{""short_code"":""BB1Cyd"",""original_url"":""https://example.com/ivory/quartz/13""}"
14,14,67,created,2025-02-02 12:14:53,"{""short_code"":""fZyLnZ"",""original_url"":""https://example.com/dawn/trail/14""}"
15,15,237,created,2026-02-09 21:07:00,"{""short_code"":""RVY4og"",""original_url"":""https://acme.dev/dawn/harvest/15""}"
16,16,145,created,2026-02-17 15:57:10,"{""short_code"":""2WBZhn"",""original_url"":""https://acme.dev/quiet/pioneer/16""}"
17,17,75,created,2025-03-30 03:24:37,"{""short_code"":""BFqehR"",""original_url"":""https://relay.cloud/forest/signal/17""}"
18,18,72,created,2025-10-05 19:00:05,"{""short_code"":""r8I0xi"",""original_url"":""https://relay.cloud/jade/garden/18""}"
